2021-09-01 13:44:05,083 - static - INFO - 
2021-09-01 13:54:04,221 - static - INFO - 
2021-09-01 14:02:04,681 - static - INFO - 
2021-09-01 14:21:23,245 - static - INFO - 
2021-09-01 14:32:17,186 - static - INFO - 第 2 号筛选条件(类别1)耗时 0.27 秒, 条件范围(13:46:40~13:46:46), 在原表中命中的范围为(248038~248094), 筛选结果为 57 条数据
2021-09-01 14:32:17,590 - static - INFO - 第 5 号筛选条件(类别1)耗时 0.19 秒, 条件范围(13:47:08~13:47:09), 在原表中命中的范围为(248299~248308), 筛选结果为 10 条数据
2021-09-01 14:32:17,996 - static - INFO - 第 7 号筛选条件(类别1)耗时 0.19 秒, 条件范围(13:47:26~13:47:30), 在原表中命中的范围为(248474~248513), 筛选结果为 40 条数据
2021-09-01 14:32:18,425 - static - INFO - 第 9 号筛选条件(类别1)耗时 0.19 秒, 条件范围(13:47:38~13:47:42), 在原表中命中的范围为(248594~248633), 筛选结果为 40 条数据
2021-09-01 14:32:18,831 - static - INFO - 第 11 号筛选条件(类别1)耗时 0.2 秒, 条件范围(13:47:54~13:48:00), 在原表中命中的范围为(248751~248806), 筛选结果为 56 条数据
2021-09-01 14:32:19,082 - static - INFO - 第 12 号筛选条件(类别1)耗时 0.24 秒, 条件范围(13:48:03~13:48:09), 在原表中命中的范围为(248835~248879), 筛选结果为 45 条数据
2021-09-01 14:32:19,287 - static - INFO - 第 13 号筛选条件(类别1)耗时 0.2 秒, 条件范围(13:48:11~13:48:56), 在原表中命中的范围为(248900~249088), 筛选结果为 189 条数据
2021-09-01 14:32:19,490 - static - INFO - 第 14 号筛选条件(类别1)耗时 0.19 秒, 条件范围(13:48:59~13:49:15), 在原表中命中的范围为(249095~249222), 筛选结果为 128 条数据
2021-09-01 14:32:19,693 - static - INFO - 第 15 号筛选条件(类别1)耗时 0.19 秒, 条件范围(13:49:16~13:49:49), 在原表中命中的范围为(249225~249360), 筛选结果为 136 条数据
2021-09-01 14:32:20,098 - static - INFO - 第 17 号筛选条件(类别1)耗时 0.19 秒, 条件范围(13:49:54~13:50:00), 在原表中命中的范围为(249410~249469), 筛选结果为 60 条数据
2021-09-01 14:32:20,706 - static - INFO - 第 20 号筛选条件(类别1)耗时 0.19 秒, 条件范围(13:50:26~13:50:28), 在原表中命中的范围为(249711~249730), 筛选结果为 20 条数据
2021-09-01 14:32:21,120 - static - INFO - 第 22 号筛选条件(类别1)耗时 0.21 秒, 条件范围(13:51:25~13:51:39), 在原表中命中的范围为(250272~250411), 筛选结果为 140 条数据
2021-09-01 14:32:21,341 - static - INFO - 第 23 号筛选条件(类别1)耗时 0.21 秒, 条件范围(13:51:41~13:52:27), 在原表中命中的范围为(250432~250659), 筛选结果为 228 条数据
2021-09-01 14:32:21,759 - static - INFO - 第 25 号筛选条件(类别1)耗时 0.21 秒, 条件范围(13:52:32~13:53:20), 在原表中命中的范围为(250710~251189), 筛选结果为 480 条数据
2021-09-01 14:32:22,232 - static - INFO - 第 27 号筛选条件(类别1)耗时 0.2 秒, 条件范围(13:53:34~13:53:37), 在原表中命中的范围为(251323~251342), 筛选结果为 20 条数据
2021-09-01 14:32:22,724 - static - INFO - 第 29 号筛选条件(类别1)耗时 0.21 秒, 条件范围(13:53:43~13:53:51), 在原表中命中的范围为(251401~251478), 筛选结果为 78 条数据
2021-09-01 14:32:23,309 - static - INFO - 第 32 号筛选条件(类别1)耗时 0.34 秒, 条件范围(13:54:23~13:54:24), 在原表中命中的范围为(251791~251800), 筛选结果为 10 条数据
2021-09-01 14:32:23,530 - static - INFO - 第 33 号筛选条件(类别1)耗时 0.21 秒, 条件范围(13:54:26~13:55:34), 在原表中命中的范围为(251821~252499), 筛选结果为 679 条数据
2021-09-01 14:32:23,957 - static - INFO - 第 35 号筛选条件(类别1)耗时 0.2 秒, 条件范围(13:55:40~13:55:57), 在原表中命中的范围为(252560~252729), 筛选结果为 170 条数据
2021-09-01 14:32:24,164 - static - INFO - 第 36 号筛选条件(类别1)耗时 0.2 秒, 条件范围(13:56:09~13:56:12), 在原表中命中的范围为(252850~252879), 筛选结果为 30 条数据
